9525,22.516,0.8
9550,13.148,0.6
9575,18.036,0.8
9600,17.796,0.76
9625,18.044,0.8
9650,15.52,0.76
9675,23.964,0.84
9700,24.148,0.72
9725,21.032,0.76
9750,22.088,0.84
9775,21.86,0.84
9800,17.22,0.64
9825,19.196,0.72
9850,24.22,0.88
9875,16.016,0.64
9900,26.288,0.88
9925,23.1,0.8
9950,17.372,0.68
9975,23.992,0.84
10000,26.804,0.8
